GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rules-cli,default,CLI,90,0,0,0,19,0,3,0,3,0
rules-cli,default,PrettyPrinter,112,0,2,0,34,0,12,0,11,0
rules-cli,default,RuleEvaluator,100,0,2,0,22,0,3,0,2,0
rules-cli,default,FilterListener,40,0,4,0,10,0,5,0,3,0
rules-cli,default,SyntaxErrorListener,22,0,0,0,7,0,4,0,4,0
